Definition,Infinitive,Mood,Tense,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural
[to want ],VOLERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi voluto, tu avesti voluto, lui/lei ebbe voluto, noi avemmo voluto, voi aveste voluto, loro ebbero voluto
[to want ],VOLERE, INDICATIVO, FUTURO ANTERIORE, io avrò voluto, tu avrai voluto, lui/lei avrà voluto, noi avremo voluto, voi avrete voluto, loro avranno voluto
[to want ],VOLERE, CONGIUNTIVO, PRESENTE, che io voglia, che tu voglia, che lui/lei voglia, che noi vogliamo, che voi vogliate, che loro vogliano
[to want ],VOLERE, CONGIUNTIVO, IMPERFETTO, che io volessi, che tu volessi, che lui/lei volesse, che noi volessimo, che voi voleste, che loro volessero
[to want ],VOLERE, CONGIUNTIVO, PASSATO, che io abbia voluto, che tu abbia voluto, che lui/lei abbia voluto, che noi abbiamo voluto, che voi abbiate voluto, che loro abbiano voluto
[to want ],VOLERE, CONGIUNTIVO, TRAPASSATO, che io avessi voluto, che tu avessi voluto, che lui/lei avesse voluto, che noi avessimo voluto, che voi aveste voluto, che loro avessero voluto
[to want ],VOLERE, CONDIZIONALE, Presente, io vorrei, tu vorresti, lui/lei vorrebbe, noi vorremmo, voi vorreste, loro vorrebbero
[to want ],VOLERE, CONDIZIONALE, Passato, io avrei voluto, tu avresti voluto, lui/lei avrebbe voluto, noi avremmo voluto, voi avreste voluto, loro avrebbero voluto
[to want ],VOLERE, IMPERATIVO, IMPERATIVO, PRESENTE,  vuoi, voglia, vogliamo, volete, vogliano
[to ask for/ request ],CHIEDERE, INDICATIVO, PRESENTE, io chiedo, tu chiedi, lui/lei chiede, noi chiediamo, voi chiedete, loro chiedono
[to ask for/ request ],CHIEDERE, INDICATIVO, IMPERFETTO, io chiedevo, tu chiedevi, lui/lei chiedeva, noi chiedevamo, voi chiedevate, loro chiedevano
[to ask for/ request ],CHIEDERE, INDICATIVO, PASSATO REMOTO, io chiesi, tu chiedesti, lui/lei chiese, noi chiedemmo, voi chiedeste, loro chiesero
[to ask for/ request ],CHIEDERE, INDICATIVO, FUTURO SEMPLICE, io chiederò, tu chiederai, lui/lei chiederà, noi chiederemo, voi chiederete, loro chiederanno
[to ask for/ request ],CHIEDERE, INDICATIVO, PASSATO PROSSIMO, io ho chiesto, tu hai chiesto, lui/lei ha chiesto, noi abbiamo chiesto, voi avete chiesto, loro hanno chiesto
[to ask for/ request ],CHIEDERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo chiesto, tu avevi chiesto, lui/lei aveva chiesto, noi avevamo chiesto, voi avevate chiesto, loro avevano chiesto
[to ask for/ request ],CHIEDERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi chiesto, tu avesti chiesto, lui/lei ebbe chiesto, noi avemmo chiesto, voi aveste chiesto, loro ebbero chiesto
[to ask for/ request ],CHIEDERE, INDICATIVO, FUTURO ANTERIORE, io avrò chiesto, tu avrai chiesto, lui/lei avrà chiesto, noi avremo chiesto, voi avrete chiesto, loro avranno chiesto
[to ask for/ request ],CHIEDERE, CONGIUNTIVO, PRESENTE, che io chieda, che tu chieda, che lui/lei chieda, che noi chiediamo, che voi chiediate, che loro chiedano
[to ask for/ request ],CHIEDERE, CONGIUNTIVO, IMPERFETTO, che io chiedessi, che tu chiedessi, che lui/lei chiedesse, che noi chiedessimo, che voi chiedeste, che loro chiedessero
[to ask for/ request ],CHIEDERE, CONGIUNTIVO, PASSATO, che io abbia chiesto, che tu abbia chiesto, che lui/lei abbia chiesto, che noi abbiamo chiesto, che voi abbiate chiesto, che loro abbiano chiesto
[to ask for/ request ],CHIEDERE, CONGIUNTIVO, TRAPASSATO, che io avessi chiesto, che tu avessi chiesto, che lui/lei avesse chiesto, che noi avessimo chiesto, che voi aveste chiesto, che loro avessero chiesto
[to ask for/ request ],CHIEDERE, CONDIZIONALE, Presente, io chiederei, tu chiederesti, lui/lei chiederebbe, noi chiederemmo, voi chiedereste, loro chiederebbero
[to ask for/ request ],CHIEDERE, CONDIZIONALE, Passato, io avrei chiesto, tu avresti chiesto, lui/lei avrebbe chiesto, noi avremmo chiesto, voi avreste chiesto, loro avrebbero chiesto
[to ask for/ request ],CHIEDERE, IMPERATIVO, IMPERATIVO, PRESENTE,  chiedi, chieda, chiediamo, chiedete, chiedano
[to be ],STARE, INDICATIVO, PRESENTE, io sto, tu stai, lui/lei sta, noi stiamo, voi state, loro stanno
[to be ],STARE, INDICATIVO, IMPERFETTO, io stavo, tu stavi, lui/lei stava, noi stavamo, voi stavate, loro stavano
[to be ],STARE, INDICATIVO, PASSATO REMOTO, io stetti, tu stesti, lui/lei stette, noi stemmo, voi steste, loro stettero
[to be ],STARE, INDICATIVO, FUTURO SEMPLICE, io starò, tu starai, lui/lei starà, noi staremo, voi starete, loro staranno
[to be ],STARE, INDICATIVO, PASSATO PROSSIMO, io sono stato/a, tu sei stato/a, lui/lei è stato/a, noi siamo stati/e, voi siete stati/e, loro sono stati/e
[to be ],STARE, INDICATIVO, TRAPASSATO PROSSIMO, io ero stato/a, tu eri stato/a, lui/lei era stato/a, noi eravamo stati/e, voi eravate stati/e, loro erano stati/e
[to be ],STARE, INDICATIVO, TRAPASSATO REMOTO, io fui stato/a, tu fosti stato/a, lui/lei fu stato/a, noi fummo stati/e, voi foste stati/e, loro furono stati/e
[to be ],STARE, INDICATIVO, FUTURO ANTERIORE, io sarò stato/a, tu sarai stato/a, lui/lei sarà stato/a, noi saremo stati/e, voi sarete stati/e, loro saranno stati/e
[to be ],STARE, CONGIUNTIVO, PRESENTE, che io stia, che tu stia, che lui/lei stia, che noi stiamo, che voi stiate, che loro stiano
[to be ],STARE, CONGIUNTIVO, IMPERFETTO, che io stessi, che tu stessi, che lui/lei stesse, che noi stessimo, che voi steste, che loro stessero
[to be ],STARE, CONGIUNTIVO, PASSATO, che io sia stato/a, che tu sia stato/a, che lui/lei sia stato/a, che noi siamo stati/e, che voi siate stati/e, che loro siano stati/e
[to be ],STARE, CONGIUNTIVO, TRAPASSATO, che io fossi stato/a, che tu fossi stato/a, che lui/lei fosse stato/a, che noi fossimo stati/e, che voi foste stati/e, che loro fossero stati/e
[to be ],STARE, CONDIZIONALE, Presente, io starei, tu staresti, lui/lei starebbe, noi staremmo, voi stareste, loro starebbero
[to be ],STARE, CONDIZIONALE, Passato, io sarei stato/a, tu saresti stato/a, lui/lei sarebbe stato/a, noi saremmo stati/e, voi sareste stati/e, loro sarebbero stati/e
[to be ],STARE, IMPERATIVO, IMPERATIVO, PRESENTE,  sta, stai, sta', stia, stiamo
[to work ],LAVORARE, INDICATIVO, PRESENTE, io lavoro, tu lavori, lui/lei lavora, noi lavoriamo, voi lavorate, loro lavorano
[to work ],LAVORARE, INDICATIVO, IMPERFETTO, io lavoravo, tu lavoravi, lui/lei lavorava, noi lavoravamo, voi lavoravate, loro lavoravano
[to work ],LAVORARE, INDICATIVO, PASSATO REMOTO, io lavorai, tu lavorasti, lui/lei lavorò, noi lavorammo, voi lavoraste, loro lavorarono
[to work ],LAVORARE, INDICATIVO, FUTURO SEMPLICE, io lavorerò, tu lavorerai, lui/lei lavorerà, noi lavoreremo, voi lavorerete, loro lavoreranno
[to work ],LAVORARE, INDICATIVO, PASSATO PROSSIMO, io ho lavorato, tu hai lavorato, lui/lei ha lavorato, noi abbiamo lavorato, voi avete lavorato, loro hanno lavorato
[to work ],LAVORARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo lavorato, tu avevi lavorato, lui/lei aveva lavorato, noi avevamo lavorato, voi avevate lavorato, loro avevano lavorato
[to work ],LAVORARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi lavorato, tu avesti lavorato, lui/lei ebbe lavorato, noi avemmo lavorato, voi aveste lavorato, loro ebbero lavorato
[to work ],LAVORARE, INDICATIVO, FUTURO ANTERIORE, io avrò lavorato, tu avrai lavorato, lui/lei avrà lavorato, noi avremo lavorato, voi avrete lavorato, loro avranno lavorato
[to work ],LAVORARE, CONGIUNTIVO, PRESENTE, che io lavori, che tu lavori, che lui/lei lavori, che noi lavoriamo, che voi lavoriate, che loro lavorino
[to work ],LAVORARE, CONGIUNTIVO, IMPERFETTO, che io lavorassi, che tu lavorassi, che lui/lei lavorasse, che noi lavorassimo, che voi lavoraste, che loro lavorassero
[to work ],LAVORARE, CONGIUNTIVO, PASSATO, che io abbia lavorato, che tu abbia lavorato, che lui/lei abbia lavorato, che noi abbiamo lavorato, che voi abbiate lavorato, che loro abbiano lavorato
[to work ],LAVORARE, CONGIUNTIVO, TRAPASSATO, che io avessi lavorato, che tu avessi lavorato, che lui/lei avesse lavorato, che noi avessimo lavorato, che voi aveste lavorato, che loro avessero lavorato
[to work ],LAVORARE, CONDIZIONALE, Presente, io lavorerei, tu lavoreresti, lui/lei lavorerebbe, noi lavoreremmo, voi lavorereste, loro lavorerebbero
[to work ],LAVORARE, CONDIZIONALE, Passato, io avrei lavorato, tu avresti lavorato, lui/lei avrebbe lavorato, noi avremmo lavorato, voi avreste lavorato, loro avrebbero lavorato
[to work ],LAVORARE, IMPERATIVO, IMPERATIVO, PRESENTE,  lavora, lavori, lavoriamo, lavorate, lavorino
[to eat ],MANGIARE, INDICATIVO, PRESENTE, io mangio, tu mangi, lui/lei mangia, noi mangiamo, voi mangiate, loro mangiano
[to eat ],MANGIARE, INDICATIVO, IMPERFETTO, io mangiavo, tu mangiavi, lui/lei mangiava, noi mangiavamo, voi mangiavate, loro mangiavano
[to eat ],MANGIARE, INDICATIVO, PASSATO REMOTO, io mangiai, tu mangiasti, lui/lei mangiò, noi mangiammo, voi mangiaste, loro mangiarono
[to eat ],MANGIARE, INDICATIVO, FUTURO SEMPLICE, io mangerò, tu mangerai, lui/lei mangerà, noi mangeremo, voi mangerete, loro mangeranno
[to eat ],MANGIARE, INDICATIVO, PASSATO PROSSIMO, io ho mangiato, tu hai mangiato, lui/lei ha mangiato, noi abbiamo mangiato, voi avete mangiato, loro hanno mangiato
[to eat ],MANGIARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo mangiato, tu avevi mangiato, lui/lei aveva mangiato, noi avevamo mangiato, voi avevate mangiato, loro avevano mangiato
[to eat ],MANGIARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi mangiato, tu avesti mangiato, lui/lei ebbe mangiato, noi avemmo mangiato, voi aveste mangiato, loro ebbero mangiato
[to eat ],MANGIARE, INDICATIVO, FUTURO ANTERIORE, io avrò mangiato, tu avrai mangiato, lui/lei avrà mangiato, noi avremo mangiato, voi avrete mangiato, loro avranno mangiato
[to eat ],MANGIARE, CONGIUNTIVO, PRESENTE, che io mangi, che tu mangi, che lui/lei mangi, che noi mangiamo, che voi mangiate, che loro mangino
[to eat ],MANGIARE, CONGIUNTIVO, IMPERFETTO, che io mangiassi, che tu mangiassi, che lui/lei mangiasse, che noi mangiassimo, che voi mangiaste, che loro mangiassero
[to eat ],MANGIARE, CONGIUNTIVO, PASSATO, che io abbia mangiato, che tu abbia mangiato, che lui/lei abbia mangiato, che noi abbiamo mangiato, che voi abbiate mangiato, che loro abbiano mangiato
[to eat ],MANGIARE, CONGIUNTIVO, TRAPASSATO, che io avessi mangiato, che tu avessi mangiato, che lui/lei avesse mangiato, che noi avessimo mangiato, che voi aveste mangiato, che loro avessero mangiato
[to eat ],MANGIARE, CONDIZIONALE, Presente, io mangerei, tu mangeresti, lui/lei mangerebbe, noi mangeremmo, voi mangereste, loro mangerebbero
[to eat ],MANGIARE, CONDIZIONALE, Passato, io avrei mangiato, tu avresti mangiato, lui/lei avrebbe mangiato, noi avremmo mangiato, voi avreste mangiato, loro avrebbero mangiato
[to eat ],MANGIARE, IMPERATIVO, IMPERATIVO, PRESENTE,  mangia, mangi, mangiamo, mangiate, mangino
[to live ],VIVERE, INDICATIVO, PRESENTE, io vivo, tu vivi, lui/lei vive, noi viviamo, voi vivete, loro vivono
[to live ],VIVERE, INDICATIVO, IMPERFETTO, io vivevo, tu vivevi, lui/lei viveva, noi vivevamo, voi vivevate, loro vivevano
[to live ],VIVERE, INDICATIVO, PASSATO REMOTO, io vissi, tu vivesti, lui/lei visse, noi vivemmo, voi viveste, loro vissero
[to live ],VIVERE, INDICATIVO, FUTURO SEMPLICE, io vivrò, tu vivrai, lui/lei vivrà, noi vivremo, voi vivrete, loro vivranno
[to live ],VIVERE, INDICATIVO, PASSATO PROSSIMO, io sono vissuto/a, tu sei vissuto/a, lui/lei è vissuto/a, noi siamo vissuti/e, voi siete vissuti/e, loro sono vissuti/e
[to live ],VIVERE, INDICATIVO, TRAPASSATO PROSSIMO, io ero vissuto/a, tu eri vissuto/a, lui/lei era vissuto/a, noi eravamo vissuti/e, voi eravate vissuti/e, loro erano vissuti/e
[to live ],VIVERE, INDICATIVO, TRAPASSATO REMOTO, io fui vissuto/a, tu fosti vissuto/a, lui/lei fu vissuto/a, noi fummo vissuti/e, voi foste vissuti/e, loro furono vissuti/e
[to live ],VIVERE, INDICATIVO, FUTURO ANTERIORE, io sarò vissuto/a, tu sarai vissuto/a, lui/lei sarà vissuto/a, noi saremo vissuti/e, voi sarete vissuti/e, loro saranno vissuti/e
[to live ],VIVERE, CONGIUNTIVO, PRESENTE, che io viva, che tu viva, che lui/lei viva, che noi viviamo, che voi viviate, che loro vivano
[to live ],VIVERE, CONGIUNTIVO, IMPERFETTO, che io vivessi, che tu vivessi, che lui/lei vivesse, che noi vivessimo, che voi viveste, che loro vivessero
[to live ],VIVERE, CONGIUNTIVO, PASSATO, che io sia vissuto/a, che tu sia vissuto/a, che lui/lei sia vissuto/a, che noi siamo vissuti/e, che voi siate vissuti/e, che loro siano vissuti/e
[to live ],VIVERE, CONGIUNTIVO, TRAPASSATO, che io fossi vissuto/a, che tu fossi vissuto/a, che lui/lei fosse vissuto/a, che noi fossimo vissuti/e, che voi foste vissuti/e, che loro fossero vissuti/e
[to live ],VIVERE, CONDIZIONALE, Presente, io vivrei, tu vivresti, lui/lei vivrebbe, noi vivremmo, voi vivreste, loro vivrebbero
[to live ],VIVERE, CONDIZIONALE, Passato, io sarei vissuto/a, tu saresti vissuto/a, lui/lei sarebbe vissuto/a, noi saremmo vissuti/e, voi sareste vissuti/e, loro sarebbero vissuti/e
[to live ],VIVERE, IMPERATIVO, IMPERATIVO, PRESENTE,  vivi, viva, viviamo, vivete, vivano
[to hear ],SENTIRE, INDICATIVO, PRESENTE, io sento, tu senti, lui/lei sente, noi sentiamo, voi sentite, loro sentono
[to hear ],SENTIRE, INDICATIVO, IMPERFETTO, io sentivo, tu sentivi, lui/lei sentiva, noi sentivamo, voi sentivate, loro sentivano
[to hear ],SENTIRE, INDICATIVO, PASSATO REMOTO, io sentii, tu sentisti, lui/lei sentì, noi sentimmo, voi sentiste, loro sentirono
[to hear ],SENTIRE, INDICATIVO, FUTURO SEMPLICE, io sentirò, tu sentirai, lui/lei sentirà, noi sentiremo, voi sentirete, loro sentiranno
[to hear ],SENTIRE, INDICATIVO, PASSATO PROSSIMO, io ho sentito, tu hai sentito, lui/lei ha sentito, noi abbiamo sentito, voi avete sentito, loro hanno sentito
[to hear ],SENTIRE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo sentito, tu avevi sentito, lui/lei aveva sentito, noi avevamo sentito, voi avevate sentito, loro avevano sentito
[to hear ],SENTIRE, INDICATIVO, TRAPASSATO REMOTO, io ebbi sentito, tu avesti sentito, lui/lei ebbe sentito, noi avemmo sentito, voi aveste sentito, loro ebbero sentito
[to hear ],SENTIRE, INDICATIVO, FUTURO ANTERIORE, io avrò sentito, tu avrai sentito, lui/lei avrà sentito, noi avremo sentito, voi avrete sentito, loro avranno sentito
[to hear ],SENTIRE, CONGIUNTIVO, PRESENTE, che io senta, che tu senta, che lui/lei senta, che noi sentiamo, che voi sentiate, che loro sentano
[to hear ],SENTIRE, CONGIUNTIVO, IMPERFETTO, che io sentissi, che tu sentissi, che lui/lei sentisse, che noi sentissimo, che voi sentiste, che loro sentissero
[to hear ],SENTIRE, CONGIUNTIVO, PASSATO, che io abbia sentito, che tu abbia sentito, che lui/lei abbia sentito, che noi abbiamo sentito, che voi abbiate sentito, che loro abbiano sentito
[to hear ],SENTIRE, CONGIUNTIVO, TRAPASSATO, che io avessi sentito, che tu avessi sentito, che lui/lei avesse sentito, che noi avessimo sentito, che voi aveste sentito, che loro avessero sentito
[to hear ],SENTIRE, CONDIZIONALE, Presente, io sentirei, tu sentiresti, lui/lei sentirebbe, noi sentiremmo, voi sentireste, loro sentirebbero
[to hear ],SENTIRE, CONDIZIONALE, Passato, io avrei sentito, tu avresti sentito, lui/lei avrebbe sentito, noi avremmo sentito, voi avreste sentito, loro avrebbero sentito
[to hear ],SENTIRE, IMPERATIVO, IMPERATIVO, PRESENTE,  senti, senta, sentiamo, sentite, sentano
[to speak ],PARLARE, INDICATIVO, PRESENTE, io parlo, tu parli, lui/lei parla, noi parliamo, voi parlate, loro parlano
[to speak ],PARLARE, INDICATIVO, IMPERFETTO, io parlavo, tu parlavi, lui/lei parlava, noi parlavamo, voi parlavate, loro parlavano
[to speak ],PARLARE, INDICATIVO, PASSATO REMOTO, io parlai, tu parlasti, lui/lei parlò, noi parlammo, voi parlaste, loro parlarono
[to speak ],PARLARE, INDICATIVO, FUTURO SEMPLICE, io parlerò, tu parlerai, lui/lei parlerà, noi parleremo, voi parlerete, loro parleranno
[to speak ],PARLARE, INDICATIVO, PASSATO PROSSIMO, io ho parlato, tu hai parlato, lui/lei ha parlato, noi abbiamo parlato, voi avete parlato, loro hanno parlato
[to speak ],PARLARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo parlato, tu avevi parlato, lui/lei aveva parlato, noi avevamo parlato, voi avevate parlato, loro avevano parlato
[to speak ],PARLARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi parlato, tu avesti parlato, lui/lei ebbe parlato, noi avemmo parlato, voi aveste parlato, loro ebbero parlato
[to speak ],PARLARE, INDICATIVO, FUTURO ANTERIORE, io avrò parlato, tu avrai parlato, lui/lei avrà parlato, noi avremo parlato, voi avrete parlato, loro avranno parlato
[to speak ],PARLARE, CONGIUNTIVO, PRESENTE, che io parli, che tu parli, che lui/lei parli, che noi parliamo, che voi parliate, che loro parlino
[to speak ],PARLARE, CONGIUNTIVO, IMPERFETTO, che io parlassi, che tu parlassi, che lui/lei parlasse, che noi parlassimo, che voi parlaste, che loro parlassero
[to speak ],PARLARE, CONGIUNTIVO, PASSATO, che io abbia parlato, che tu abbia parlato, che lui/lei abbia parlato, che noi abbiamo parlato, che voi abbiate parlato, che loro abbiano parlato
[to speak ],PARLARE, CONGIUNTIVO, TRAPASSATO, che io avessi parlato, che tu avessi parlato, che lui/lei avesse parlato, che noi avessimo parlato, che voi aveste parlato, che loro avessero parlato
[to speak ],PARLARE, CONDIZIONALE, Presente, io parlerei, tu parleresti, lui/lei parlerebbe, noi parleremmo, voi parlereste, loro parlerebbero
[to speak ],PARLARE, CONDIZIONALE, Passato, io avrei parlato, tu avresti parlato, lui/lei avrebbe parlato, noi avremmo parlato, voi avreste parlato, loro avrebbero parlato
[to speak ],PARLARE, IMPERATIVO, IMPERATIVO, PRESENTE,  parla, parli, parliamo, parlate, parlino
[to find ],TROVARE, INDICATIVO, PRESENTE, io trovo, tu trovi, lui/lei trova, noi troviamo, voi trovate, loro trovano
[to find ],TROVARE, INDICATIVO, IMPERFETTO, io trovavo, tu trovavi, lui/lei trovava, noi trovavamo, voi trovavate, loro trovavano
[to find ],TROVARE, INDICATIVO, PASSATO REMOTO, io trovai, tu trovasti, lui/lei trovò, noi trovammo, voi trovaste, loro trovarono
[to find ],TROVARE, INDICATIVO, FUTURO SEMPLICE, io troverò, tu troverai, lui/lei troverà, noi troveremo, voi troverete, loro troveranno
[to find ],TROVARE, INDICATIVO, PASSATO PROSSIMO, io ho trovato, tu hai trovato, lui/lei ha trovato, noi abbiamo trovato, voi avete trovato, loro hanno trovato
[to find ],TROVARE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo trovato, tu avevi trovato, lui/lei aveva trovato, noi avevamo trovato, voi avevate trovato, loro avevano trovato
[to find ],TROVARE, INDICATIVO, TRAPASSATO REMOTO, io ebbi trovato, tu avesti trovato, lui/lei ebbe trovato, noi avemmo trovato, voi aveste trovato, loro ebbero trovato
[to find ],TROVARE, INDICATIVO, FUTURO ANTERIORE, io avrò trovato, tu avrai trovato, lui/lei avrà trovato, noi avremo trovato, voi avrete trovato, loro avranno trovato
[to find ],TROVARE, CONGIUNTIVO, PRESENTE, che io trovi, che tu trovi, che lui/lei trovi, che noi troviamo, che voi troviate, che loro trovino
[to find ],TROVARE, CONGIUNTIVO, IMPERFETTO, che io trovassi, che tu trovassi, che lui/lei trovasse, che noi trovassimo, che voi trovaste, che loro trovassero
[to find ],TROVARE, CONGIUNTIVO, PASSATO, che io abbia trovato, che tu abbia trovato, che lui/lei abbia trovato, che noi abbiamo trovato, che voi abbiate trovato, che loro abbiano trovato
