Definition,Infinitive,Present Participle,Past Participle,Principal Parts of the Verb,Present,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future I,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future II,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Imperative,2nd Person Singular,,2nd Person Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conversed {past-p} [formal],sich unterhalten,unterhaltend,unterhalten,untergehalten,sich unterhalten - unterhält,hält unter - unterhielt,hielt unter - hat unterhalten,untergehalten,ich,unterhalte,halte unter,du,unterhältst,hältst unter,er,sie,es,unterhält,hält unter,wir,unterhalten,halten unter,ihr,unterhaltet,haltet unter,sie,Sie,unterhalten,halten unter,ich,habe unterhalten,untergehalten,du,hast unterhalten,untergehalten,er,sie,es,hat unterhalten,untergehalten,wir,haben unterhalten,untergehalten,ihr,habt unterhalten,untergehalten,sie,Sie,haben unterhalten,untergehalten,ich,unterhielt,hielt unter,du,unterhieltest,hieltest unter,er,sie,es,unterhielt,hielt unter,wir,unterhielten,hielten unter,ihr,unterhieltet,hieltet unter,sie,Sie,unterhielten,hielten unter,ich,hatte unterhalten,untergehalten,du,hattest unterhalten,untergehalten,er,sie,es,hatte unterhalten,untergehalten,wir,hatten unterhalten,untergehalten,ihr,hattet unterhalten,untergehalten,sie,Sie,hatten unterhalten,untergehalten,ich,werde mich unterhalten,du,wirst dich unterhalten,er,sie,es,wird sich unterhalten,wir,werden uns unterhalten,ihr,werdet euch unterhalten,sie,Sie,werden sich unterhalten,ich,werde mich unterhalten,untergehalten haben,du,wirst dich unterhalten,untergehalten haben,er,sie,es,wird sich unterhalten,untergehalten haben,wir,werden uns unterhalten,untergehalten haben,ihr,werdet euch unterhalten,untergehalten haben,sie,Sie,werden sich unterhalten,untergehalten haben,ich,unterhalte,halte unter,du,unterhaltest,haltest unter,er,sie,es,unterhalte,halte unter,wir,unterhalten,halten unter,ihr,unterhaltet,haltet unter,sie,Sie,unterhalten,halten unter,ich,habe unterhalten,untergehalten,du,habest unterhalten,untergehalten,er,sie,es,habe unterhalten,untergehalten,wir,haben unterhalten,untergehalten,ihr,habet unterhalten,untergehalten,sie,Sie,haben unterhalten,untergehalten,ich,unterhielte,hielte unter,du,unterhieltest,hieltest unter,er,sie,es,unterhielte,hielte unter,wir,unterhielten,hielten unter,ihr,unterhieltet,hieltet unter,sie,Sie,unterhielten,hielten unter,ich,hätte unterhalten,untergehalten,du,hättest unterhalten,untergehalten,er,sie,es,hätte unterhalten,untergehalten,wir,hätten unterhalten,untergehalten,ihr,hättet unterhalten,untergehalten,sie,Sie,hätten unterhalten,untergehalten,ich,würde mich unterhalten,du,würdest dich unterhalten,er,sie,es,würde sich unterhalten,wir,würden uns unterhalten,ihr,würdet euch unterhalten,sie,Sie,würden sich unterhalten,ich,würde mich unterhalten,untergehalten haben,du,würdest dich unterhalten,untergehalten haben,er,sie,es,würde sich unterhalten,untergehalten haben,wir,würden uns unterhalten,untergehalten haben,ihr,würdet euch unterhalten,untergehalten haben,sie,Sie,würden sich unterhalten,untergehalten haben,du,unterhalte,halte unter,unterhalte,halte untr,ihr,unterhaltet,haltet unter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to shift,umstellen,umstellend,umstellt,umgestellt,umstellen - umstellt,stellt um - umstellte,stellte um - hat umstellt,umgestellt,ich,umstelle,stelle um,du,umstellst,stellst um,er,sie,es,umstellt,stellt um,wir,umstellen,stellen um,ihr,umstellt,stellt um,sie,Sie,umstellen,stellen um,ich,habe umstellt,umgestellt,du,hast umstellt,umgestellt,er,sie,es,hat umstellt,umgestellt,wir,haben umstellt,umgestellt,ihr,habt umstellt,umgestellt,sie,Sie,haben umstellt,umgestellt,ich,umstellte,stellte um,du,umstelltest,stelltest um,er,sie,es,umstellte,stellte um,wir,umstellten,stellten um,ihr,umstelltet,stelltet um,sie,Sie,umstellten,stellten um,ich,hatte umstellt,umgestellt,du,hattest umstellt,umgestellt,er,sie,es,hatte umstellt,umgestellt,wir,hatten umstellt,umgestellt,ihr,hattet umstellt,umgestellt,sie,Sie,hatten umstellt,umgestellt,ich,werde umstellen,du,wirst umstellen,er,sie,es,wird umstellen,wir,werden umstellen,ihr,werdet umstellen,sie,Sie,werden umstellen,ich,werde umstellt,umgestellt haben,du,wirst umstellt,umgestellt haben,er,sie,es,wird umstellt,umgestellt haben,wir,werden umstellt,umgestellt haben,ihr,werdet umstellt,umgestellt haben,sie,Sie,werden umstellt,umgestellt haben,ich,umstelle,stelle um,du,umstellest,stellest um,er,sie,es,umstelle,stelle um,wir,umstellen,stellen um,ihr,umstellet,stellet um,sie,Sie,umstellen,stellen um,ich,habe umstellt,umgestellt,du,habest umstellt,umgestellt,er,sie,es,habe umstellt,umgestellt,wir,haben umstellt,umgestellt,ihr,habet umstellt,umgestellt,sie,Sie,haben umstellt,umgestellt,ich,umstellte,stellte um,du,umstelltest,stelltest um,er,sie,es,umstellte,stellte um,wir,umstellten,stellten um,ihr,umstelltet,stelltet um,sie,Sie,umstellten,stellten um,ich,hätte umstellt,umgestellt,du,hättest umstellt,umgestellt,er,sie,es,hätte umstellt,umgestellt,wir,hätten umstellt,umgestellt,ihr,hättet umstellt,umgestellt,sie,Sie,hätten umstellt,umgestellt,ich,würde umstellen,du,würdest umstellen,er,sie,es,würde umstellen,wir,würden umstellen,ihr,würdet umstellen,sie,Sie,würden umstellen,ich,würde umstellt,umgestellt haben,du,würdest umstellt,umgestellt haben,er,sie,es,würde umstellt,umgestellt haben,wir,würden umstellt,umgestellt haben,ihr,würdet umstellt,umgestellt haben,sie,Sie,würden umstellt,umgestellt haben,du,umstelle,stelle um,ihr,umstellt,stellt um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to stick,stecken,steckend,gesteckt,stecken - steckt - stak,steckte - hat gesteckt,ich,stecke,du,steckst,er,sie,es,steckt,wir,stecken,ihr,steckt,sie,Sie,stecken,ich,habe gesteckt,du,hast gesteckt,er,sie,es,hat gesteckt,wir,haben gesteckt,ihr,habt gesteckt,sie,Sie,haben gesteckt,ich,stak,steckte,du,stakst,stecktest,er,sie,es,stak,steckte,wir,staken,steckten,ihr,stakt,stecktet,sie,Sie,staken,steckten,ich,hatte gesteckt,du,hattest gesteckt,er,sie,es,hatte gesteckt,wir,hatten gesteckt,ihr,hattet gesteckt,sie,Sie,hatten gesteckt,ich,werde stecken,du,wirst stecken,er,sie,es,wird stecken,wir,werden stecken,ihr,werdet stecken,sie,Sie,werden stecken,ich,werde gesteckt haben,du,wirst gesteckt haben,er,sie,es,wird gesteckt haben,wir,werden gesteckt haben,ihr,werdet gesteckt haben,sie,Sie,werden gesteckt haben,ich,stecke,du,steckest,er,sie,es,stecke,wir,stecken,ihr,stecket,sie,Sie,stecken,ich,habe gesteckt,du,habest gesteckt,er,sie,es,habe gesteckt,wir,haben gesteckt,ihr,habet gesteckt,sie,Sie,haben gesteckt,ich,stäke,du,stäkest,er,sie,es,stäke,wir,stäken,ihr,stäket,sie,Sie,stäken,ich,hätte gesteckt,du,hättest gesteckt,er,sie,es,hätte gesteckt,wir,hätten gesteckt,ihr,hättet gesteckt,sie,Sie,hätten gesteckt,ich,würde stecken,du,würdest stecken,er,sie,es,würde stecken,wir,würden stecken,ihr,würdet stecken,sie,Sie,würden stecken,ich,würde gesteckt haben,du,würdest gesteckt haben,er,sie,es,würde gesteckt haben,wir,würden gesteckt haben,ihr,würdet gesteckt haben,sie,Sie,würden gesteckt haben,du,stecke,ihr,steckt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[we/they/you] shall,sollen,sollend,sollen - soll - sollte - hat gesollt,ich,soll,du,sollst,er,sie,es,soll,wir,sollen,ihr,sollt,sie,Sie,sollen,ich,habe gesollt,du,hast gesollt,er,sie,es,hat gesollt,wir,haben gesollt,ihr,habt gesollt,sie,Sie,haben gesollt,ich,sollte,du,solltest,er,sie,es,sollte,wir,sollten,ihr,solltet,sie,Sie,sollten,ich,hatte gesollt,du,hattest gesollt,er,sie,es,hatte gesollt,wir,hatten gesollt,ihr,hattet gesollt,sie,Sie,hatten gesollt,ich,werde sollen,du,wirst sollen,er,sie,es,wird sollen,wir,werden sollen,ihr,werdet sollen,sie,Sie,werden sollen,ich,werde gesollt haben,du,wirst gesollt haben,er,sie,es,wird gesollt haben,wir,werden gesollt haben,ihr,werdet gesollt haben,sie,Sie,werden gesollt haben,ich,solle,du,sollest,er,sie,es,solle,wir,sollen,ihr,sollet,sie,Sie,sollen,ich,habe gesollt,du,habest gesollt,er,sie,es,habe gesollt,wir,haben gesollt,ihr,habet gesollt,sie,Sie,haben gesollt,ich,sollte,du,solltest,er,sie,es,sollte,wir,sollten,ihr,solltet,sie,Sie,sollten,ich,hätte gesollt,du,hättest gesollt,er,sie,es,hätte gesollt,wir,hätten gesollt,ihr,hättet gesollt,sie,Sie,hätten gesollt,ich,würde sollen,du,würdest sollen,er,sie,es,würde sollen,wir,würden sollen,ihr,würdet sollen,sie,Sie,würden sollen,ich,würde gesollt haben,du,würdest gesollt haben,er,sie,es,würde gesollt haben,wir,würden gesollt haben,ihr,würdet gesollt haben,sie,Sie,würden gesollt haben,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to boil,sieden,siedend,gesotten,sieden - siedet - sott,siedete - hat gesotten,ich,siede,du,siedest,er,sie,es,siedet,wir,sieden,ihr,siedet,sie,Sie,sieden,ich,habe gesotten,du,hast gesotten,er,sie,es,hat gesotten,wir,haben gesotten,ihr,habt gesotten,sie,Sie,haben gesotten,ich,sott,siedete,du,sottest,siedetest,er,sie,es,sott,siedete,wir,sotten,siedeten,ihr,sottet,siedetet,sie,Sie,sotten,siedeten,ich,hatte gesotten,du,hattest gesotten,er,sie,es,hatte gesotten,wir,hatten gesotten,ihr,hattet gesotten,sie,Sie,hatten gesotten,ich,werde sieden,du,wirst sieden,er,sie,es,wird sieden,wir,werden sieden,ihr,werdet sieden,sie,Sie,werden sieden,ich,werde gesotten haben,du,wirst gesotten haben,er,sie,es,wird gesotten haben,wir,werden gesotten haben,ihr,werdet gesotten haben,sie,Sie,werden gesotten haben,ich,siede,du,siedest,er,sie,es,siede,wir,sieden,ihr,siedet,sie,Sie,sieden,ich,habe gesotten,du,habest gesotten,er,sie,es,habe gesotten,wir,haben gesotten,ihr,habet gesotten,sie,Sie,haben gesotten,ich,sötte,du,söttest,er,sie,es,sötte,wir,sötten,ihr,söttet,sie,Sie,sötten,ich,hätte gesotten,du,hättest gesotten,er,sie,es,hätte gesotten,wir,hätten gesotten,ihr,hättet gesotten,sie,Sie,hätten gesotten,ich,würde sieden,du,würdest sieden,er,sie,es,würde sieden,wir,würden sieden,ihr,würdet sieden,sie,Sie,würden sieden,ich,würde gesotten haben,du,würdest gesotten haben,er,sie,es,würde gesotten haben,wir,würden gesotten haben,ihr,würdet gesotten haben,sie,Sie,würden gesotten haben,du,siede,sied,ihr,siedet,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to vow,schwören,schwörend,geschworen,schwören - schwört - schwor,schwörte - hat geschworen,ich,schwöre,du,schwörst,er,sie,es,schwört,wir,schwören,ihr,schwört,sie,Sie,schwören,ich,habe geschworen,du,hast geschworen,er,sie,es,hat geschworen,wir,haben geschworen,ihr,habt geschworen,sie,Sie,haben geschworen,ich,schwor,schwörte,du,schworst,schwörtest,er,sie,es,schwor,schwörte,wir,schworen,schwörten,ihr,schwort,schwörtet,sie,Sie,schworen,schwörten,ich,hatte geschworen,du,hattest geschworen,er,sie,es,hatte geschworen,wir,hatten geschworen,ihr,hattet geschworen,sie,Sie,hatten geschworen,ich,werde schwören,du,wirst schwören,er,sie,es,wird schwören,wir,werden schwören,ihr,werdet schwören,sie,Sie,werden schwören,ich,werde geschworen haben,du,wirst geschworen haben,er,sie,es,wird geschworen haben,wir,werden geschworen haben,ihr,werdet geschworen haben,sie,Sie,werden geschworen haben,ich,schwöre,du,schwörest,er,sie,es,schwöre,wir,schwören,ihr,schwöret,sie,Sie,schwören,ich,habe geschworen,du,habest geschworen,er,sie,es,habe geschworen,wir,haben geschworen,ihr,habet geschworen,sie,Sie,haben geschworen,ich,schwüre,du,schwürest,er,sie,es,schwüre,wir,schwüren,ihr,schwüret,sie,Sie,schwüren,ich,hätte geschworen,du,hättest geschworen,er,sie,es,hätte geschworen,wir,hätten geschworen,ihr,hättet geschworen,sie,Sie,hätten geschworen,ich,würde schwören,du,würdest schwören,er,sie,es,würde schwören,wir,würden schwören,ihr,würdet schwören,sie,Sie,würden schwören,ich,würde geschworen haben,du,würdest geschworen haben,er,sie,es,würde geschworen haben,wir,würden geschworen haben,ihr,würdet geschworen haben,sie,Sie,würden geschworen haben,du,schwöre,ihr,schwört,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to split sth.,spalten,spaltend,gespalten,gespaltet,spalten - spaltet - spaltete - hat gespalten,gespaltet,ich,spalte,du,spaltest,er,sie,es,spaltet,wir,spalten,ihr,spaltet,sie,Sie,spalten,ich,habe gespalten,gespaltet,du,hast gespalten,gespaltet,er,sie,es,hat gespalten,gespaltet,wir,haben gespalten,gespaltet,ihr,habt gespalten,gespaltet,sie,Sie,haben gespalten,gespaltet,ich,spaltete,du,spaltetest,er,sie,es,spaltete,wir,spalteten,ihr,spaltetet,sie,Sie,spalteten,ich,hatte gespalten,gespaltet,du,hattest gespalten,gespaltet,er,sie,es,hatte gespalten,gespaltet,wir,hatten gespalten,gespaltet,ihr,hattet gespalten,gespaltet,sie,Sie,hatten gespalten,gespaltet,ich,werde spalten,du,wirst spalten,er,sie,es,wird spalten,wir,werden spalten,ihr,werdet spalten,sie,Sie,werden spalten,ich,werde gespalten,gespaltet haben,du,wirst gespalten,gespaltet haben,er,sie,es,wird gespalten,gespaltet haben,wir,werden gespalten,gespaltet haben,ihr,werdet gespalten,gespaltet haben,sie,Sie,werden gespalten,gespaltet haben,ich,spalte,du,spaltest,er,sie,es,spalte,wir,spalten,ihr,spaltet,sie,Sie,spalten,ich,habe gespalten,gespaltet,du,habest gespalten,gespaltet,er,sie,es,habe gespalten,gespaltet,wir,haben gespalten,gespaltet,ihr,habet gespalten,gespaltet,sie,Sie,haben gespalten,gespaltet,ich,spaltete,du,spaltetest,er,sie,es,spaltete,wir,spalteten,ihr,spaltetet,sie,Sie,spalteten,ich,hätte gespalten,gespaltet,du,hättest gespalten,gespaltet,er,sie,es,hätte gespalten,gespaltet,wir,hätten gespalten,gespaltet,ihr,hättet gespalten,gespaltet,sie,Sie,hätten gespalten,gespaltet,ich,würde spalten,du,würdest spalten,er,sie,es,würde spalten,wir,würden spalten,ihr,würdet spalten,sie,Sie,würden spalten,ich,würde gespalten,gespaltet haben,du,würdest gespalten,gespaltet haben,er,sie,es,würde gespalten,gespaltet haben,wir,würden gespalten,gespaltet haben,ihr,würdet gespalten,gespaltet haben,sie,Sie,würden gespalten,gespaltet haben,du,spalte,ihr,spaltet,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to melt,schmelzen,schmelzend,geschmolzen,schmelzen - schmilzt - schmolz - hat geschmolzen,ist geschmolzen,ich,schmelze,du,schmilzt,er,sie,es,schmilzt,wir,schmelzen,ihr,schmelzt,sie,Sie,schmelzen,ich,habe geschmolzen,bin geschmolzen,du,hast geschmolzen,bist geschmolzen,er,sie,es,hat geschmolzen,ist geschmolzen,wir,haben geschmolzen,sind geschmolzen,ihr,habt geschmolzen,seid geschmolzen,sie,Sie,haben geschmolzen,sind geschmolzen,ich,schmolz,du,schmolzest,er,sie,es,schmolz,wir,schmolzen,ihr,schmolzt,sie,Sie,schmolzen,ich,hatte geschmolzen,war geschmolzen,du,hattest geschmolzen,warst geschmolzen,er,sie,es,hatte geschmolzen,war geschmolzen,wir,hatten geschmolzen,waren geschmolzen,ihr,hattet geschmolzen,wart geschmolzen,sie,Sie,hatten geschmolzen,waren geschmolzen,ich,werde schmelzen,du,wirst schmelzen,er,sie,es,wird schmelzen,wir,werden schmelzen,ihr,werdet schmelzen,sie,Sie,werden schmelzen,ich,werde geschmolzen haben,sein,du,wirst geschmolzen haben,sein,er,sie,es,wird geschmolzen haben,sein,wir,werden geschmolzen haben,sein,ihr,werdet geschmolzen haben,sein,sie,Sie,werden geschmolzen haben,sein,ich,schmelze,du,schmelzest,er,sie,es,schmelze,wir,schmelzen,ihr,schmelzet,sie,Sie,schmelzen,ich,habe geschmolzen,sei geschmolzen,du,habest geschmolzen,seiest geschmolzen,er,sie,es,habe geschmolzen,sei geschmolzen,wir,haben geschmolzen,seien geschmolzen,ihr,habet geschmolzen,seiet geschmolzen,sie,Sie,haben geschmolzen,seien geschmolzen,ich,schmölze,du,schmölzest,er,sie,es,schmölze,wir,schmölzen,ihr,schmölzet,sie,Sie,schmölzen,ich,hätte geschmolzen,wäre geschmolzen,du,hättest geschmolzen,wärest geschmolzen,er,sie,es,hätte geschmolzen,wäre geschmolzen,wir,hätten geschmolzen,wären geschmolzen,ihr,hättet geschmolzen,wäret geschmolzen,sie,Sie,hätten geschmolzen,wären geschmolzen,ich,würde schmelzen,du,würdest schmelzen,er,sie,es,würde schmelzen,wir,würden schmelzen,ihr,würdet schmelzen,sie,Sie,würden schmelzen,ich,würde geschmolzen haben,sein,du,würdest geschmolzen haben,sein,er,sie,es,würde geschmolzen haben,sein,wir,würden geschmolzen haben,sein,ihr,würdet geschmolzen haben,sein,sie,Sie,würden geschmolzen haben,sein,du,schmilz,ihr,schmelzt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to drag,schleifen,schleifend,geschliffen,geschleift,schleifen - schleift - schliff,schleifte - hat geschliffen,geschleift,ist geschliffen,geschleift,ich,schleife,du,schleifst,er,sie,es,schleift,wir,schleifen,ihr,schleift,sie,Sie,schleifen,ich,habe geschliffen,geschleift,bin geschliffen,geschleift,du,hast geschliffen,geschleift,bist geschliffen,geschleift,er,sie,es,hat geschliffen,geschleift,ist geschliffen,geschleift,wir,haben geschliffen,geschleift,sind geschliffen,geschleift,ihr,habt geschliffen,geschleift,seid geschliffen,geschleift,sie,Sie,haben geschliffen,geschleift,sind geschliffen,geschleift,ich,schliff,schleifte,du,schliffst,schleiftest,er,sie,es,schliff,schleifte,wir,schliffen,schleiften,ihr,schlifft,schleiftet,sie,Sie,schliffen,schleiften,ich,hatte geschliffen,geschleift,war geschliffen,geschleift,du,hattest geschliffen,geschleift,warst geschliffen,geschleift,er,sie,es,hatte geschliffen,geschleift,war geschliffen,geschleift,wir,hatten geschliffen,geschleift,waren geschliffen,geschleift,ihr,hattet geschliffen,geschleift,wart geschliffen,geschleift,sie,Sie,hatten geschliffen,geschleift,waren geschliffen,geschleift,ich,werde schleifen,du,wirst schleifen,er,sie,es,wird schleifen,wir,werden schleifen,ihr,werdet schleifen,sie,Sie,werden schleifen,ich,werde geschliffen,geschleift haben,sein,du,wirst geschliffen,geschleift haben,sein,er,sie,es,wird geschliffen,geschleift haben,sein,wir,werden geschliffen,geschleift haben,sein,ihr,werdet geschliffen,geschleift haben,sein,sie,Sie,werden geschliffen,geschleift haben,sein,ich,schleife,du,schleifest,er,sie,es,schleife,wir,schleifen,ihr,schleifet,sie,Sie,schleifen,ich,habe geschliffen,geschleift,sei geschliffen,geschleift,du,habest geschliffen,geschleift,seiest geschliffen,geschleift,er,sie,es,habe geschliffen,geschleift,sei geschliffen,geschleift,wir,haben geschliffen,geschleift,seien geschliffen,geschleift,ihr,habet geschliffen,geschleift,seiet geschliffen,geschleift,sie,Sie,haben geschliffen,geschleift,seien geschliffen,geschleift,ich,schliffe,du,schliffest,er,sie,es,schliffe,wir,schliffen,ihr,schliffet,sie,Sie,schliffen,ich,hätte geschliffen,geschleift,wäre geschliffen,geschleift,du,hättest geschliffen,geschleift,wärest geschliffen,geschleift,er,sie,es,hätte geschliffen,geschleift,wäre geschliffen,geschleift,wir,hätten geschliffen,geschleift,wären geschliffen,geschleift,ihr,hättet geschliffen,geschleift,wäret geschliffen,geschleift,sie,Sie,hätten geschliffen,geschleift,wären geschliffen,geschleift,ich,würde schleifen,du,würdest schleifen,er,sie,es,würde schleifen,wir,würden schleifen,ihr,würdet schleifen,sie,Sie,würden schleifen,ich,würde geschliffen,geschleift haben,sein,du,würdest geschliffen,geschleift haben,sein,er,sie,es,würde geschliffen,geschleift haben,sein,wir,würden geschliffen,geschleift haben,sein,ihr,würdet geschliffen,geschleift haben,sein,sie,Sie,würden geschliffen,geschleift haben,sein,du,schleife,ihr,schleift,English
to scream,schreien,schreiend,geschrieen,geschrien,schreien - schreit - schrie - hat geschrieen,geschrien,ich,schreie,du,schreist,er,sie,es,schreit,wir,schreien,ihr,schreit,sie,Sie,schreien,ich,habe geschrieen,geschrien,du,hast geschrieen,geschrien,er,sie,es,hat geschrieen,geschrien,wir,haben geschrieen,geschrien,ihr,habt geschrieen,geschrien,sie,Sie,haben geschrieen,geschrien,ich,schrie,du,schriest,er,sie,es,schrie,wir,schrien,ihr,schriet,sie,Sie,schrien,ich,hatte geschrieen,geschrien,du,hattest geschrieen,geschrien,er,sie,es,hatte geschrieen,geschrien,wir,hatten geschrieen,geschrien,ihr,hattet geschrieen,geschrien,sie,Sie,hatten geschrieen,geschrien,ich,werde schreien,du,wirst schreien,er,sie,es,wird schreien,wir,werden schreien,ihr,werdet schreien,sie,Sie,werden schreien,ich,werde geschrieen,geschrien haben,du,wirst geschrieen,geschrien haben,er,sie,es,wird geschrieen,geschrien haben,wir,werden geschrieen,geschrien haben,ihr,werdet geschrieen,geschrien haben,sie,Sie,werden geschrieen,geschrien haben,ich,schreie,du,schreiest,er,sie,es,schreie,wir,schreien,ihr,schreiet,sie,Sie,schreien,ich,habe geschrieen,geschrien,du,habest geschrieen,geschrien,er,sie,es,habe geschrieen,geschrien,wir,haben geschrieen,geschrien,ihr,habet geschrieen,geschrien,sie,Sie,haben geschrieen,geschrien,ich,schrie,du,schriest,er,sie,es,schrie,wir,schrien,ihr,schriet,sie,Sie,schrien,ich,hätte geschrieen,geschrien,du,hättest geschrieen,geschrien,er,sie,es,hätte geschrieen,geschrien,wir,hätten geschrieen,geschrien,ihr,hättet geschrieen,geschrien,sie,Sie,hätten geschrieen,geschrien,ich,würde schreien,du,würdest schreien,er,sie,es,würde schreien,wir,würden schreien,ihr,würdet schreien,sie,Sie,würden schreien,ich,würde geschrieen,geschrien haben,du,würdest geschrieen,geschrien haben,er,sie,es,würde geschrieen,geschrien haben,wir,würden geschrieen,geschrien haben,ihr,würdet geschrieen,geschrien haben,sie,Sie,würden geschrieen,geschrien haben,du,schreie,ihr,schreit,English,English,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to accomplish sth.,schaffen,schaffend,geschaffen,geschafft,schaffen - schafft - schuf,schaffte - hat geschaffen,geschafft,ich,schaffe,du,schaffst,er,sie,es,schafft,wir,schaffen,ihr,schafft,sie,Sie,schaffen,ich,habe geschaffen,geschafft,du,hast geschaffen,geschafft,er,sie,es,hat geschaffen,geschafft,wir,haben geschaffen,geschafft,ihr,habt geschaffen,geschafft,sie,Sie,haben geschaffen,geschafft,ich,schuf,schaffte,du,schufst,schafftest,er,sie,es,schuf,schaffte,wir,schufen,schafften,ihr,schuft,schafftet,sie,Sie,schufen,schafften,ich,hatte geschaffen,geschafft,du,hattest geschaffen,geschafft,er,sie,es,hatte geschaffen,geschafft,wir,hatten geschaffen,geschafft,ihr,hattet geschaffen,geschafft,sie,Sie,hatten geschaffen,geschafft,ich,werde schaffen,du,wirst schaffen,er,sie,es,wird schaffen,wir,werden schaffen,ihr,werdet schaffen,sie,Sie,werden schaffen,ich,werde geschaffen,geschafft haben,du,wirst geschaffen,geschafft haben,er,sie,es,wird geschaffen,geschafft haben,wir,werden geschaffen,geschafft haben,ihr,werdet geschaffen,geschafft haben,sie,Sie,werden geschaffen,geschafft haben,ich,schaffe,du,schaffest,er,sie,es,schaffe,wir,schaffen,ihr,schaffet,sie,Sie,schaffen,ich,habe geschaffen,geschafft,du,habest geschaffen,geschafft,er,sie,es,habe geschaffen,geschafft,wir,haben geschaffen,geschafft,ihr,habet geschaffen,geschafft,sie,Sie,haben geschaffen,geschafft,ich,schüfe,du,schüfest,er,sie,es,schüfe,wir,schüfen,ihr,schüfet,sie,Sie,schüfen,ich,hätte geschaffen,geschafft,du,hättest geschaffen,geschafft,er,sie,es,hätte geschaffen,geschafft,wir,hätten geschaffen,geschafft,ihr,hättet geschaffen,geschafft,sie,Sie,hätten geschaffen,geschafft,ich,würde schaffen,du,würdest schaffen,er,sie,es,würde schaffen,wir,würden schaffen,ihr,würdet schaffen,sie,Sie,würden schaffen,ich,würde geschaffen,geschafft haben,du,würdest geschaffen,geschafft haben,er,sie,es,würde geschaffen,geschafft haben,wir,würden geschaffen,geschafft haben,ihr,würdet geschaffen,geschafft haben,sie,Sie,würden geschaffen,geschafft haben,du,schaffe,schaff,ihr,schafft,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
